,x,y,SPEED_MAX_GUST,MEAN_TEMPERATURE,STATION_NAME,LOCAL_DATE,MAX_TEMPERATURE,MIN_TEMPERATURE,LOCAL_YEAR,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,MIN_REL_HUMIDITY,ID
0,-71.8236111111111,45.36888888888889,37.0,17.6,LENNOXVILLE,2021-06-14,21.8,13.3,2021,2.4,91.0,61.0,7024280.2021.6.14
1,-71.8236111111111,45.36888888888889,47.0,17.9,LENNOXVILLE,2021-06-15,24.2,11.6,2021,0.3,96.0,49.0,7024280.2021.6.15
2,-71.8236111111111,45.36888888888889,42.0,14.0,LENNOXVILLE,2021-06-16,19.8,8.2,2021,0.0,90.0,40.0,7024280.2021.6.16
3,-71.8236111111111,45.36888888888889,40.0,15.2,LENNOXVILLE,2021-06-17,23.3,7.2,2021,0.0,92.0,29.0,7024280.2021.6.17
4,-71.8236111111111,45.36888888888889,39.0,16.9,LENNOXVILLE,2021-06-18,26.3,7.5,2021,0.1,92.0,30.0,7024280.2021.6.18
5,-71.8236111111111,45.36888888888889,65.0,19.4,LENNOXVILLE,2021-06-19,26.0,12.8,2021,5.8,96.0,38.0,7024280.2021.6.19
6,-71.8236111111111,45.36888888888889,36.0,18.8,LENNOXVILLE,2021-06-20,27.2,10.5,2021,0.0,94.0,40.0,7024280.2021.6.20
7,-71.8236111111111,45.36888888888889,60.0,22.3,LENNOXVILLE,2021-06-21,31.5,13.1,2021,7.6,93.0,49.0,7024280.2021.6.21
8,-71.8236111111111,45.36888888888889,34.0,14.9,LENNOXVILLE,2021-06-22,20.4,9.4,2021,0.0,95.0,67.0,7024280.2021.6.22
9,-71.8236111111111,45.36888888888889,37.0,13.3,LENNOXVILLE,2021-06-23,20.1,6.6,2021,0.0,95.0,34.0,7024280.2021.6.23
10,-71.8236111111111,45.36888888888889,42.0,15.5,LENNOXVILLE,2021-06-24,25.8,5.2,2021,0.0,96.0,29.0,7024280.2021.6.24
11,-71.8236111111111,45.36888888888889,35.0,19.6,LENNOXVILLE,2021-06-25,27.4,11.7,2021,0.0,81.0,30.0,7024280.2021.6.25
12,-71.8236111111111,45.36888888888889,34.0,20.4,LENNOXVILLE,2021-06-26,22.8,17.9,2021,4.9,93.0,77.0,7024280.2021.6.26
13,-71.8236111111111,45.36888888888889,56.0,27.0,LENNOXVILLE,2021-06-27,31.8,22.2,2021,0.0,80.0,50.0,7024280.2021.6.27
14,-71.8236111111111,45.36888888888889,35.0,26.5,LENNOXVILLE,2021-06-28,31.4,21.6,2021,1.5,94.0,53.0,7024280.2021.6.28
15,-71.8236111111111,45.36888888888889,34.0,25.4,LENNOXVILLE,2021-06-29,30.5,20.3,2021,0.0,96.0,47.0,7024280.2021.6.29
16,-71.8236111111111,45.36888888888889,33.0,21.8,LENNOXVILLE,2021-06-30,26.6,17.0,2021,18.4,97.0,71.0,7024280.2021.6.30
17,-71.8236111111111,45.36888888888889,0.0,19.1,LENNOXVILLE,2021-07-01,22.6,15.6,2021,0.0,89.0,57.0,7024280.2021.7.1
18,-71.8236111111111,45.36888888888889,33.0,15.5,LENNOXVILLE,2021-07-02,18.9,12.1,2021,0.2,94.0,68.0,7024280.2021.7.2
19,-71.8236111111111,45.36888888888889,0.0,14.3,LENNOXVILLE,2021-07-03,17.0,11.7,2021,2.4,96.0,71.0,7024280.2021.7.3
20,-71.8236111111111,45.36888888888889,0.0,12.9,LENNOXVILLE,2021-07-04,17.4,8.4,2021,0.0,97.0,74.0,7024280.2021.7.4
21,-71.8236111111111,45.36888888888889,0.0,15.5,LENNOXVILLE,2021-07-05,24.9,6.1,2021,0.0,97.0,44.0,7024280.2021.7.5
22,-71.8236111111111,45.36888888888889,40.0,21.8,LENNOXVILLE,2021-07-06,26.7,16.9,2021,2.2,96.0,67.0,7024280.2021.7.6
23,-71.8236111111111,45.36888888888889,0.0,15.7,LENNOXVILLE,2021-07-07,21.1,10.3,2021,0.0,95.0,39.0,7024280.2021.7.7
24,-71.8236111111111,45.36888888888889,31.0,13.4,LENNOXVILLE,2021-07-08,17.6,9.3,2021,6.0,96.0,75.0,7024280.2021.7.8
25,-71.8236111111111,45.36888888888889,0.0,18.0,LENNOXVILLE,2021-07-09,22.3,13.7,2021,0.6,97.0,77.0,7024280.2021.7.9
26,-71.8236111111111,45.36888888888889,0.0,17.8,LENNOXVILLE,2021-07-10,24.9,10.6,2021,0.0,96.0,42.0,7024280.2021.7.10
